number,corpName,postingUrl,imgUrl
0,구주제약(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47513001,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2020/03/q6ww16_7cqt-2rxefd_goodchoice46356Guide150120.jpg
1,재단법인 한국나눔장학재단,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47536072,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2023/08/rzh4w8_f5xd-2so30k_goodchoice74510341004q.jpg
2,강림중공업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47465617,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2014/07/1405651206_goodchoice41992244199224.png
3,제이엠팜,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47198917,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2023/10/s2nc5p_ene1-2so27f_goodchoice8143782.png
4,(주)시아스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47582456,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2022/02/r7ftqr_wyai-2so29b_goodchoice4605385logo.png
5,하나금융파인드㈜,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47413415,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2021/10/r15uwc_828m-2so29k_goodchoice7905496hanafind.png
6,쿠팡로지스틱스서비스,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47578568,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2023/03/rsbm4w_y12u-2so30s_goodchoice8091386212soupanglogo230330.png
7,현담산업(주),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47577295,https://www.saraminbanner.co.kr/banner_logo/company/logo_banner/2019/06/pspj4g_pnng-2rxgct_goodchoice7419252hdlogo.png
